,Unnamed: 0,Star_name,Distance,Mass,Radius
4365,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4366,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4367,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
4368,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4369,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4370,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
4371,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4372,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4373,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
4374,87.0,LHS 2021,55,0.084003744,0.11817744999999999
4375,98.0,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
4376,80.0,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
